instance_id,t_gini,early_t_gini,success,issue_length,diff_size,test_size,repo
django__django-16333,0.3208615972282176,0.3323097361648626,0.0,557,397,1420,django/django
django__django-16429,0.4425511773754587,0.448830886351278,1.0,964,359,1339,django/django
django__django-16454,0.3235852506252834,0.370412077171447,0.0,2039,857,1990,django/django
django__django-16485,0.4115298021092548,0.4127535740520991,0.0,246,449,591,django/django
django__django-16493,0.4402606362037269,0.5075835545203402,0.0,1141,692,2210,django/django
django__django-16502,0.31215146103778557,0.32394103712685096,0.0,1676,2176,3506,django/django
django__django-16527,0.27263960939884035,0.25475012547501263,1.0,493,581,2633,django/django
django__django-16560,0.17977067977067995,0.2963191797029052,0.0,840,10743,11164,django/django
django__django-16569,0.45959866329245336,0.40812645224409927,1.0,1740,647,567,django/django
django__django-16595,0.34211137278975,0.29748723082056405,1.0,1540,712,2160,django/django
django__django-16612,0.38330895881492677,0.22624078624078625,1.0,723,630,4140,django/django
django__django-16631,0.17542481448357528,0.20117658789510418,0.0,824,2723,1622,django/django
django__django-16642,0.3679466297472651,0.42656566721735967,0.0,261,632,619,django/django
django__django-16661,0.2970731265764541,0.3086209073396027,0.0,1315,1152,1549,django/django
django__django-16662,0.3570143399926462,0.32666277520182385,1.0,740,765,971,django/django
django__django-16667,0.3279257529876394,0.35471064726511226,0.0,1758,529,2112,django/django
django__django-16801,0.4475144123779986,0.5327591283863369,1.0,724,1451,952,django/django
django__django-16819,0.32915424747495003,0.26235735644108127,0.0,146,641,696,django/django
django__django-16877,0.3473460188319184,0.265753825225191,0.0,435,628,2195,django/django
django__django-16899,0.18275380825117127,0.1879851012579179,0.0,784,875,1379,django/django
django__django-16901,0.8118920185681855,0.3846215091860905,0.0,1014,1316,985,django/django
django__django-16938,0.2598680273545628,0.24707023834634034,0.0,4015,1354,5322,django/django
django__django-16950,0.4375839556094403,0.4348731061928366,0.0,1443,824,1676,django/django
django__django-17029,0.24658201752330977,0.23122055023559818,1.0,878,426,834,django/django
django__django-17084,0.3788100359709192,0.36143818442329345,0.0,648,1421,1381,django/django
django__django-17087,0.3908093640902941,0.26372492667757297,0.0,1135,555,974,django/django
django__django-7530,,,0.0,481,754,1801,django/django
django__django-9296,0.3915812546480353,0.21888196607822774,1.0,411,523,668,django/django
matplotlib__matplotlib-13989,,,0.0,1714,505,495,matplotlib/matplotlib
matplotlib__matplotlib-14623,,,0.0,1117,3862,523,matplotlib/matplotlib
matplotlib__matplotlib-20488,0.30878148945971806,0.31567154129972264,0.0,1952,928,1474,matplotlib/matplotlib
matplotlib__matplotlib-20676,0.2661401694011949,0.3273951018343806,0.0,1645,838,1432,matplotlib/matplotlib
matplotlib__matplotlib-20826,0.4598418948701435,0.5905756013745704,0.0,2496,774,798,matplotlib/matplotlib
matplotlib__matplotlib-20859,0.5444962776894904,0.3640250134878882,0.0,2582,979,665,matplotlib/matplotlib
matplotlib__matplotlib-21568,0.3225670260006539,0.3908976760023837,0.0,1297,743,2599,matplotlib/matplotlib
matplotlib__matplotlib-22719,0.5090956571987377,0.4399343662578006,1.0,10176,1122,637,matplotlib/matplotlib
matplotlib__matplotlib-22865,0.4333802533030824,0.46801962341267633,1.0,1515,844,1444,matplotlib/matplotlib
matplotlib__matplotlib-22871,0.36479451227338977,0.36089114495205865,0.0,1439,722,667,matplotlib/matplotlib
matplotlib__matplotlib-23299,0.319477407237474,0.3400639528092513,0.0,1780,646,709,matplotlib/matplotlib
matplotlib__matplotlib-23314,0.43650890063335734,0.4546326666034697,0.0,943,421,1284,matplotlib/matplotlib
matplotlib__matplotlib-23412,0.37191682833109874,0.4303350504581347,0.0,1859,654,1959,matplotlib/matplotlib
matplotlib__matplotlib-23476,0.3687702950727092,0.3919722678343369,0.0,3251,519,702,matplotlib/matplotlib
matplotlib__matplotlib-24026,0.369640125142604,0.3733969451294532,1.0,2133,1615,702,matplotlib/matplotlib
matplotlib__matplotlib-24149,0.469111477890104,0.39267803410230684,0.0,3224,972,642,matplotlib/matplotlib
matplotlib__matplotlib-24177,0.3828198987347309,0.44595822515931083,0.0,2031,637,3067,matplotlib/matplotlib
matplotlib__matplotlib-24570,0.4684372892784896,0.4573784114765571,1.0,1356,679,2241,matplotlib/matplotlib
matplotlib__matplotlib-24627,0.19199685400074662,0.2562611883778574,0.0,395,627,705,matplotlib/matplotlib
matplotlib__matplotlib-24637,0.47653610534456803,0.3833206300813008,1.0,2257,802,1615,matplotlib/matplotlib
matplotlib__matplotlib-24870,0.48120521025825935,0.41915119990542626,0.0,1150,3653,1212,matplotlib/matplotlib
matplotlib__matplotlib-24970,0.49266786422927455,0.47307785008435776,0.0,1758,1598,679,matplotlib/matplotlib
matplotlib__matplotlib-25122,0.4378862847986478,0.12647861692447693,0.0,1084,1300,2614,matplotlib/matplotlib
matplotlib__matplotlib-25287,0.4659198672356568,0.391549007571107,1.0,2097,1671,1134,matplotlib/matplotlib
matplotlib__matplotlib-25311,0.42017529981330903,0.42045592091991124,0.0,908,924,1413,matplotlib/matplotlib
matplotlib__matplotlib-25332,0.31888465079862116,0.35883354121193234,0.0,1004,824,928,matplotlib/matplotlib
matplotlib__matplotlib-25479,0.23471551667284474,0.22746243002537048,0.0,5785,1187,1270,matplotlib/matplotlib
matplotlib__matplotlib-25775,0.19911223523669674,0.22885686966269914,0.0,718,5178,2655,matplotlib/matplotlib
matplotlib__matplotlib-25960,0.3206524328520701,0.4375641617365278,0.0,788,2269,1419,matplotlib/matplotlib
matplotlib__matplotlib-26113,0.4276133976933565,0.5126083028309318,1.0,9424,602,1269,matplotlib/matplotlib
matplotlib__matplotlib-26208,0.28575909661229604,0.2695239323641232,0.0,2079,627,863,matplotlib/matplotlib
matplotlib__matplotlib-26291,0.44088496052170645,0.430045050734706,0.0,3844,583,832,matplotlib/matplotlib
matplotlib__matplotlib-26342,0.3180130891952526,0.17597905372429534,0.0,571,687,1061,matplotlib/matplotlib
matplotlib__matplotlib-26466,0.36755165537660406,0.39526221191963984,0.0,1412,1783,1368,matplotlib/matplotlib
mwaskom__seaborn-3069,0.2922267914777241,0.30680994251969507,0.0,1188,2235,1045,mwaskom/seaborn
mwaskom__seaborn-3187,0.36304437089696573,0.3883967721432422,0.0,1438,1531,1199,mwaskom/seaborn
pallets__flask-5014,0.3859578023293515,0.20687324529479034,0.0,195,390,465,pallets/flask
psf__requests-1142,0.1993690963981669,0.2674533823981844,0.0,381,743,638,psf/requests
psf__requests-1724,0.4725583095135544,0.29249291784702547,1.0,7476,863,602,psf/requests
psf__requests-1766,0.3002094323592752,0.30182152316091027,1.0,897,621,571,psf/requests
psf__requests-1921,0.29714786689909967,0.25431596177015026,1.0,708,388,705,psf/requests
psf__requests-2317,0.4080576398362892,0.32475932437885513,1.0,841,763,466,psf/requests
psf__requests-2931,0.44231013795582097,0.37730149597238194,0.0,271,723,634,psf/requests
psf__requests-5414,0.3181973773471001,0.34550187536672583,0.0,1428,511,516,psf/requests
psf__requests-6028,0.30826488468142355,0.32725297113752116,0.0,1268,454,728,psf/requests
pydata__xarray-2905,0.22335812498284713,0.1440892410010466,0.0,2135,529,1131,pydata/xarray
pydata__xarray-3095,0.3948034891942853,0.34162201306754025,0.0,2811,4029,671,pydata/xarray
pydata__xarray-3151,0.19481898119597907,0.2977524691551161,0.0,2326,1331,1254,pydata/xarray
pydata__xarray-3305,0.3648508161379205,0.35470003001843997,0.0,2188,2945,1017,pydata/xarray
pydata__xarray-3677,0.32260271683483577,0.37057719531401756,0.0,1456,422,728,pydata/xarray
pydata__xarray-3993,0.3072544916829345,0.33114162028447747,0.0,919,4058,1002,pydata/xarray
pydata__xarray-4075,0.3896558253168423,0.435670386543749,1.0,2273,823,1258,pydata/xarray
pydata__xarray-4094,0.3133355802718796,0.3724240291727978,0.0,1604,517,784,pydata/xarray
pydata__xarray-4356,0.21472304028951705,0.2842377260981912,0.0,703,808,1975,pydata/xarray
pydata__xarray-4629,0.22040648314895805,0.26572975488018935,0.0,2659,471,709,pydata/xarray
pydata__xarray-4687,0.3227127051015115,0.3040497923335992,0.0,3990,1539,1342,pydata/xarray
pydata__xarray-4695,0.2657738475744016,0.286777665279184,0.0,3514,559,801,pydata/xarray
pydata__xarray-4966,0.31712253727740336,0.2320389395789928,0.0,4384,983,1433,pydata/xarray
pydata__xarray-6461,0.2758404914800241,0.2759609541172896,0.0,986,697,571,pydata/xarray
pydata__xarray-6599,0.33325768137556877,0.3455692930759131,0.0,4310,779,628,pydata/xarray
pydata__xarray-6721,0.39434701740401223,0.36735707163038067,0.0,9276,452,634,pydata/xarray
pydata__xarray-6744,0.24469928068391522,0.2501488839657924,0.0,1547,1309,1464,pydata/xarray
pydata__xarray-6938,0.3131533056629172,0.3125885506604167,0.0,2978,3179,664,pydata/xarray
pydata__xarray-6992,0.14271502773131428,0.19697827034269255,0.0,1562,8857,6737,pydata/xarray
pydata__xarray-7229,0.3301229918817776,0.3797623262612233,0.0,2824,2032,3090,pydata/xarray
