instance_id,t_gini,early_t_gini,success,issue_length,diff_size,test_size,repo
django__django-13821,0.34854562933331823,0.5051151689208855,0.0,538,623,810,django/django
django__django-13837,0.43561719751939054,0.39407937217503597,0.0,1643,1037,1999,django/django
django__django-13925,0.11463403487123225,0.01776455205374461,0.0,4086,630,3131,django/django
django__django-13933,0.31680672943404997,0.34727108898995973,0.0,1207,687,906,django/django
django__django-13964,0.2915393272477178,0.23654354453254967,0.0,1870,696,2297,django/django
django__django-14007,0.3571451868763993,0.30966353085896925,0.0,1214,2029,2643,django/django
django__django-14011,0.34140424801912794,0.3489739847170945,0.0,1907,2233,5803,django/django
django__django-14017,0.2946921537604832,0.3685492400287851,0.0,1269,624,1241,django/django
django__django-14034,0.3274966382571176,0.29986408818143073,0.0,1131,1576,1503,django/django
django__django-14053,0.2108733320685512,0.17447400518371703,1.0,3108,2122,731,django/django
django__django-14089,0.38542306435805274,0.28764004336826887,1.0,318,391,702,django/django
django__django-14122,0.3324955917466794,0.3959700438454521,0.0,463,1126,1223,django/django
django__django-14140,0.5156736948634855,0.5630454126793325,0.0,1152,1026,3838,django/django
django__django-14155,0.49404260747544315,0.24171636845593114,0.0,553,949,1628,django/django
django__django-14170,0.20868186313023207,0.2855271511314421,0.0,1739,3448,2024,django/django
django__django-14238,0.3218217719306802,0.32997096013855787,1.0,2590,627,1920,django/django
django__django-14311,0.2779860635739737,0.29038082522728725,0.0,605,947,1277,django/django
django__django-14315,0.22627468774628046,0.2120919310932401,0.0,489,1077,1855,django/django
django__django-14349,0.46579002143451853,0.4299303811915087,0.0,2383,926,1174,django/django
django__django-14351,0.35881061275401493,0.2844790393327101,0.0,8541,770,744,django/django
django__django-14373,0.40460239713622825,0.2799150436803719,1.0,220,476,862,django/django
django__django-14376,0.3720140515222483,0.30600512956575576,0.0,782,1845,2915,django/django
django__django-14404,0.3896889652073008,0.2968089990817264,0.0,304,917,1843,django/django
django__django-14434,0.30834482551220765,0.3020352410872833,0.0,190,1423,1289,django/django
django__django-14493,0.3352196008150641,0.2933176621246476,1.0,1456,530,1385,django/django
django__django-14500,0.24714012596692947,0.24892600780588992,0.0,292,1017,1219,django/django
django__django-14534,0.394498371631969,0.27280217516684524,0.0,1640,386,1610,django/django
django__django-14539,0.40269604672444936,0.41819890253748304,0.0,353,749,701,django/django
django__django-14559,0.3351945767255433,0.34104362412028544,0.0,476,1349,1357,django/django
django__django-14580,0.33237137176156906,0.3291703242624957,0.0,1576,535,693,django/django
django__django-14608,0.2186660976347663,0.23986325092559402,0.0,605,881,2562,django/django
django__django-14631,0.30465858499168585,0.385484811283207,0.0,1399,5201,2421,django/django
django__django-14672,0.37535702682946637,0.37283215969271954,1.0,6760,511,3427,django/django
django__django-14725,0.23353105758238235,0.34560799462546177,0.0,378,2530,3290,django/django
django__django-14752,0.2660293615568454,0.2700927458553375,1.0,2847,1465,1637,django/django
django__django-14765,0.2344353281853282,0.26237608708873084,1.0,558,787,478,django/django
django__django-14771,0.45644398521638907,0.36503239181135005,0.0,994,693,3292,django/django
django__django-14787,0.4446643723434589,0.4345670679116511,1.0,745,685,1050,django/django
django__django-14792,0.4060520019415892,0.34877396597826715,0.0,1514,486,1638,django/django
django__django-14855,0.3236330228706028,0.34520460886491167,1.0,1011,687,2805,django/django
django__django-14915,0.372903632767867,0.36612612612612616,1.0,1007,416,1221,django/django
django__django-14999,0.28596049385249067,0.3136563876651983,1.0,262,1226,1674,django/django
django__django-15022,0.28981584706222385,0.20680107294280536,0.0,1224,1106,3534,django/django
django__django-15037,0.31457676570816373,0.22378264340289666,0.0,502,1403,1441,django/django
django__django-15098,0.3248723053976472,0.31660062165289693,0.0,2598,403,2504,django/django
django__django-15103,0.4312836518549199,0.38333880364322637,0.0,378,1606,1296,django/django
django__django-15104,0.44511589578887323,0.46218545329196825,1.0,4594,590,1326,django/django
django__django-15127,0.4758417991151893,0.6134083677812057,0.0,306,732,3138,django/django
django__django-15128,0.36030276873288947,0.3633114754098361,0.0,2662,3798,2972,django/django
django__django-15161,0.22388109110169485,0.1746035700051245,0.0,504,1795,2701,django/django
django__django-15252,0.33529728464338526,0.3155280037883681,0.0,1681,850,4447,django/django
django__django-15268,0.2929465134996707,0.28414634146341466,0.0,1305,1228,3414,django/django
django__django-15277,0.4480633643565626,0.44106713560680255,1.0,2748,653,1235,django/django
django__django-15278,0.2900078775528805,0.16851477915687485,0.0,1222,1128,951,django/django
django__django-15280,0.348253910594988,0.37517213578232833,0.0,2509,929,1514,django/django
django__django-15315,0.5150242750800758,0.4182998010891186,0.0,793,665,871,django/django
django__django-15368,0.46715622565809833,0.45043202190051623,1.0,1180,1214,858,django/django
django__django-15375,0.3729717197399134,0.3927558751474458,0.0,1613,733,962,django/django
django__django-15380,0.34027397843868834,0.3480402796072326,0.0,1608,827,1319,django/django
