model,dimension_mode,L,coupling_id,observable,mean,stderr,tau_int,seed,formal_n,n_eff,transverse_weight,t_axis_weight,projection_ratio,proxy_kind,mass_like,lambda_like,schedule_mode,schedule_source,update_kernel,proposal_scale_final,metro_hits,measure_stride,site_order
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.200,binder,0.6629956713,0.0003115153,0.5000000000,5299,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.693764,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.200,xi_over_L,0.0279603961,0.0277128021,0.5000000000,5299,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.693764,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.200,susceptibility,0.2978248452,0.0230134336,0.5000000000,5299,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.693764,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.200,magnetization_abs,1.2937382936,0.0044125692,0.5000000000,5299,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.693764,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.200,acceptance_rate,0.5213802083,0.0011208380,0.5000000000,5299,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.693764,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.000_lam1.200,binder,0.6638550219,0.0002252900,0.5000000000,5561,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.000_lam1.200,xi_over_L,0.0566392933,0.0291634038,0.5000000000,5561,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.000_lam1.200,susceptibility,0.3555136289,0.0285281032,0.5000000000,5561,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.000_lam1.200,magnetization_abs,1.2940357787,0.0038568183,0.5000000000,5561,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.000_lam1.200,acceptance_rate,0.5183125000,0.0008258128,0.5000000000,5561,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
