formal_n,sizes,mass_like,lambda_like,t_regulator,proxy_kind,eta_proxy,eta_anchor_de2,gamma_phi_proxy_de2,status_de2,score_de2,eta_anchor_lpa,gamma_phi_proxy_lpa,status_lpa,xi_values,xi_window_pass,susceptibility_values
2.780000,"4,6,8",1.250000,0.500000,0.000000,t_projected_direct,1.5583533804,0.0320000000,,out_of_anchor_band,1.5263533804,0.0160000000,,out_of_anchor_band,0.0771242777|0.0000000000|0.1049744684,True,0.1658748354|0.1460608673|0.3127768468
2.780000,"4,6,8",0.600000,1.000000,0.000000,t_projected_direct,1.5651070596,0.0320000000,,out_of_anchor_band,1.5331070596,0.0160000000,,out_of_anchor_band,0.1918664262|0.0875148534|0.1693154877,True,0.3236932666|0.2672459581|0.6571509222
2.780000,"4,6,8",0.600000,0.750000,0.000000,t_projected_direct,1.5786706063,0.0320000000,,out_of_anchor_band,1.5466706063,0.0160000000,,out_of_anchor_band,0.1050854810|0.0698525004|0.0457921451,True,0.1481731219|0.1676891684|0.2001218678
2.780000,"4,6,8",0.800000,1.000000,0.000000,t_projected_direct,1.6360880551,0.0320000000,,out_of_anchor_band,1.6040880551,0.0160000000,,out_of_anchor_band,0.0962031092|0.0000000000|0.1069507040,True,0.2126786079|0.2400822153|0.2758754351
2.680000,"4,6,8",1.500000,0.500000,0.000000,t_projected_direct,1.6509524277,0.0380000000,,out_of_anchor_band,1.6129524277,0.0160000000,,out_of_anchor_band,0.0831567326|0.0761642341|0.0000000000,True,0.2298598541|0.3826524344|0.2688508245
3.000000,"4,6,8",1.500000,0.750000,0.000000,t_projected_direct,-1.6192755098,0.0190000000,,non_physical_eta_proxy,1.6382755098,0.0130000000,,non_physical_eta_proxy,0.1198231712|0.1190613822|0.2171471125,True,0.2487445116|0.3288564160|8.1851411951
3.000000,"4,6,8",0.600000,0.750000,0.000000,t_projected_direct,1.6818447924,0.0190000000,,out_of_anchor_band,1.6628447924,0.0130000000,,out_of_anchor_band,0.0900169990|0.0539773586|0.0000000000,True,0.1677714416|0.1427337864|0.2297341591
3.000000,"4,6,8",0.800000,1.000000,0.000000,t_projected_direct,1.6889865537,0.0190000000,,out_of_anchor_band,1.6699865537,0.0130000000,,out_of_anchor_band,0.0115935223|0.1973666003|0.0000000000,True,0.1234144648|0.3965148844|0.1506977618
2.680000,"4,6,8",1.000000,1.000000,0.000000,t_projected_direct,1.7128100538,0.0380000000,,out_of_anchor_band,1.6748100538,0.0160000000,,out_of_anchor_band,0.0394417045|0.0979327688|0.0514158406,True,0.2485455374|0.3108254541|0.3047597446
3.000000,"4,6,8",0.800000,0.750000,0.000000,t_projected_direct,1.7483745740,0.0190000000,,out_of_anchor_band,1.7293745740,0.0130000000,,out_of_anchor_band,0.0933928169|0.1413384193|0.0414163699,True,0.1719987801|0.2445675305|0.1843040962
2.680000,"4,6,8",1.000000,0.750000,0.000000,t_projected_direct,1.8198984116,0.0380000000,,out_of_anchor_band,1.7818984116,0.0160000000,,out_of_anchor_band,0.1511521479|0.0716781924|0.0000000000,True,0.2247434478|0.3310253366|0.2453158748
