model,dimension_mode,L,coupling_id,observable,mean,stderr,tau_int,seed,formal_n,n_eff,transverse_weight,t_axis_weight,projection_ratio,proxy_kind,mass_like,lambda_like,schedule_mode,schedule_source,update_kernel,proposal_scale_final,metro_hits,measure_stride,site_order,surface_id,topology_proxy_kind,surface_selector
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_direct_crossing::n2.78_m1.000_lam1.100,acceptance_rate,0.5217447917,0.0016232493,0.5000000000,5199,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_direct_crossing::n2.78_m1.000_lam1.100,binder,0.6649076305,0.0001876580,0.5066642444,5461,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.763140,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_direct_crossing::n2.78_m1.000_lam1.100,xi_over_L,0.0000000000,0.0121712549,0.5066642444,5461,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.763140,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_direct_crossing::n2.78_m1.000_lam1.100,susceptibility,0.2512863948,0.0314933357,0.5066642444,5461,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.763140,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_direct_crossing::n2.78_m1.000_lam1.100,structure_factor_kmin,0.2895223060,0.0164945205,0.5066642444,5461,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.763140,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_direct_crossing::n2.78_m1.000_lam1.100,magnetization_abs,1.3787771495,0.0046257923,0.5066642444,5461,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.763140,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_direct_crossing::n2.78_m1.000_lam1.100,acceptance_rate,0.4875583333,0.0013485168,0.5000000000,5461,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.763140,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_direct_crossing::n2.78_m1.000_lam1.200,binder,0.6607392433,0.0005996781,0.5000000000,5037,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.679958,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_direct_crossing::n2.78_m1.000_lam1.200,xi_over_L,0.0562848607,0.0340834640,0.5000000000,5037,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.679958,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_direct_crossing::n2.78_m1.000_lam1.200,susceptibility,0.2719784749,0.0317649110,0.5000000000,5037,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.679958,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_direct_crossing::n2.78_m1.000_lam1.200,structure_factor_kmin,0.2469159489,0.0130964301,0.5000000000,5037,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.679958,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_direct_crossing::n2.78_m1.000_lam1.200,magnetization_abs,1.2961847060,0.0079678754,0.5000000000,5037,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.679958,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_direct_crossing::n2.78_m1.000_lam1.200,acceptance_rate,0.5249652778,0.0018391250,0.5000000000,5037,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.679958,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_direct_crossing::n2.78_m1.000_lam1.200,binder,0.6619386695,0.0005636788,0.8090593841,5299,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_direct_crossing::n2.78_m1.000_lam1.200,xi_over_L,0.0849897328,0.0353622335,0.8090593841,5299,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_direct_crossing::n2.78_m1.000_lam1.200,susceptibility,0.3857032095,0.0506600267,0.8090593841,5299,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled,n2.78_direct_crossing,t_projected_direct,crossing
