model,dimension_mode,L,coupling_id,observable,mean,stderr,tau_int,seed,formal_n,n_eff,transverse_weight,t_axis_weight,projection_ratio,proxy_kind,mass_like,lambda_like,schedule_mode,schedule_source,update_kernel,proposal_scale_final,metro_hits,measure_stride,site_order
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m0.900_lam1.050,acceptance_rate,0.5138867188,0.0015443936,0.5000000000,5139,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.693764,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m0.900_lam1.050,binder,0.6650052114,0.0001615677,0.6634469796,5401,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m0.900_lam1.050,xi_over_L,0.0000000000,0.0239077938,0.6634469796,5401,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m0.900_lam1.050,susceptibility,0.2626327674,0.0262144658,0.6634469796,5401,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m0.900_lam1.050,structure_factor_kmin,0.2740668581,0.0169334285,0.6634469796,5401,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m0.900_lam1.050,magnetization_abs,1.4506981490,0.0054115177,0.6634469796,5401,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m0.900_lam1.050,acceptance_rate,0.5071041667,0.0011912511,0.5000000000,5401,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m0.900_lam1.100,binder,0.6613430440,0.0005984770,0.5955114810,4927,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.630694,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m0.900_lam1.100,xi_over_L,0.0936372865,0.0352304456,0.5955114810,4927,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.630694,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m0.900_lam1.100,susceptibility,0.2901605813,0.0349643285,0.5955114810,4927,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.630694,4,5,shuffled
