model,dimension_mode,L,coupling_id,observable,mean,stderr,tau_int,seed,formal_n,n_eff,transverse_weight,t_axis_weight,projection_ratio,proxy_kind,mass_like,lambda_like,schedule_mode,schedule_source
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m0.400_lam1.000,binder,0.6653691560,0.0001959047,3.6035496656,41,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.400000,1.000000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m0.400_lam1.000,xi_over_L,0.0393099584,0.0364154181,3.6035496656,41,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.400000,1.000000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m0.400_lam1.000,susceptibility,0.1745558317,0.0258568461,3.6035496656,41,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.400000,1.000000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m0.400_lam1.000,magnetization_abs,1.6788745456,0.0111188248,3.6035496656,41,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.400000,1.000000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m0.400_lam1.000,acceptance_rate,0.5155273437,0.0056362925,0.5000000000,41,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.400000,1.000000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,4,n2.70_m1.000_lam0.500,binder,0.6619840606,0.0008360291,3.0559094746,41,2.700000,1.700000,0.850000,0.000000,0.000000,t_projected_direct,1.000000,0.500000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,4,n2.70_m1.000_lam0.500,xi_over_L,0.1014095875,0.0505605295,3.0559094746,41,2.700000,1.700000,0.850000,0.000000,0.000000,t_projected_direct,1.000000,0.500000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,4,n2.70_m1.000_lam0.500,susceptibility,0.2510329126,0.0485356699,3.0559094746,41,2.700000,1.700000,0.850000,0.000000,0.000000,t_projected_direct,1.000000,0.500000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,4,n2.70_m1.000_lam0.500,magnetization_abs,2.1009687780,0.0245579448,3.0559094746,41,2.700000,1.700000,0.850000,0.000000,0.000000,t_projected_direct,1.000000,0.500000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,4,n2.70_m1.000_lam0.500,acceptance_rate,0.5328125000,0.0124287813,0.5000000000,41,2.700000,1.700000,0.850000,0.000000,0.000000,t_projected_direct,1.000000,0.500000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.70_m1.000_lam0.500,binder,0.6649316442,0.0002887820,2.6559321791,41,2.700000,1.700000,0.850000,0.000000,0.000000,t_projected_direct,1.000000,0.500000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.70_m1.000_lam0.500,xi_over_L,0.0491997268,0.0457501718,2.6559321791,41,2.700000,1.700000,0.850000,0.000000,0.000000,t_projected_direct,1.000000,0.500000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.70_m1.000_lam0.500,susceptibility,0.2092240200,0.0337942907,2.6559321791,41,2.700000,1.700000,0.850000,0.000000,0.000000,t_projected_direct,1.000000,0.500000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.70_m1.000_lam0.500,magnetization_abs,2.0978125158,0.0139341168,2.6559321791,41,2.700000,1.700000,0.850000,0.000000,0.000000,t_projected_direct,1.000000,0.500000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.70_m1.000_lam0.500,acceptance_rate,0.5416666667,0.0054128689,0.5000000000,41,2.700000,1.700000,0.850000,0.000000,0.000000,t_projected_direct,1.000000,0.500000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.70_m1.000_lam0.500,binder,0.6657054796,0.0001294901,3.0875443157,41,2.700000,1.700000,0.850000,0.000000,0.000000,t_projected_direct,1.000000,0.500000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.70_m1.000_lam0.500,xi_over_L,0.0000000000,0.0295173083,3.0875443157,41,2.700000,1.700000,0.850000,0.000000,0.000000,t_projected_direct,1.000000,0.500000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.70_m1.000_lam0.500,susceptibility,0.2053856998,0.0279131507,3.0875443157,41,2.700000,1.700000,0.850000,0.000000,0.000000,t_projected_direct,1.000000,0.500000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.70_m1.000_lam0.500,magnetization_abs,2.1049283913,0.0111639569,3.0875443157,41,2.700000,1.700000,0.850000,0.000000,0.000000,t_projected_direct,1.000000,0.500000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.70_m1.000_lam0.500,acceptance_rate,0.5327148438,0.0047018029,0.5000000000,41,2.700000,1.700000,0.850000,0.000000,0.000000,t_projected_direct,1.000000,0.500000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,4,n2.68_m1.500_lam1.000,binder,0.6509161874,0.0029563085,5.2774992819,41,2.680000,1.680000,0.840000,0.000000,0.000000,t_projected_direct,1.500000,1.000000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,4,n2.68_m1.500_lam1.000,xi_over_L,0.0377169139,0.0387574378,5.2774992819,41,2.680000,1.680000,0.840000,0.000000,0.000000,t_projected_direct,1.500000,1.000000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,4,n2.68_m1.500_lam1.000,susceptibility,0.2956660705,0.0517350786,5.2774992819,41,2.680000,1.680000,0.840000,0.000000,0.000000,t_projected_direct,1.500000,1.000000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,4,n2.68_m1.500_lam1.000,magnetization_abs,1.2142096210,0.0350244465,5.2774992819,41,2.680000,1.680000,0.840000,0.000000,0.000000,t_projected_direct,1.500000,1.000000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,4,n2.68_m1.500_lam1.000,acceptance_rate,0.5699218750,0.0127002479,0.5000000000,41,2.680000,1.680000,0.840000,0.000000,0.000000,t_projected_direct,1.500000,1.000000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.68_m1.500_lam1.000,binder,0.6574970827,0.0019333672,2.9965156166,41,2.680000,1.680000,0.840000,0.000000,0.000000,t_projected_direct,1.500000,1.000000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.68_m1.500_lam1.000,xi_over_L,0.0000000000,0.0237772540,2.9965156166,41,2.680000,1.680000,0.840000,0.000000,0.000000,t_projected_direct,1.500000,1.000000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.68_m1.500_lam1.000,susceptibility,0.3416685251,0.0560156331,2.9965156166,41,2.680000,1.680000,0.840000,0.000000,0.000000,t_projected_direct,1.500000,1.000000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.68_m1.500_lam1.000,magnetization_abs,1.1330950209,0.0189136760,2.9965156166,41,2.680000,1.680000,0.840000,0.000000,0.000000,t_projected_direct,1.500000,1.000000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.68_m1.500_lam1.000,acceptance_rate,0.5803819444,0.0069514154,0.5000000000,41,2.680000,1.680000,0.840000,0.000000,0.000000,t_projected_direct,1.500000,1.000000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.68_m1.500_lam1.000,binder,0.6597903608,0.0014098900,8.4142180622,41,2.680000,1.680000,0.840000,0.000000,0.000000,t_projected_direct,1.500000,1.000000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.68_m1.500_lam1.000,xi_over_L,0.0000000000,0.0240254806,8.4142180622,41,2.680000,1.680000,0.840000,0.000000,0.000000,t_projected_direct,1.500000,1.000000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.68_m1.500_lam1.000,susceptibility,0.4371031810,0.0755778093,8.4142180622,41,2.680000,1.680000,0.840000,0.000000,0.000000,t_projected_direct,1.500000,1.000000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.68_m1.500_lam1.000,magnetization_abs,1.1297443632,0.0268859455,8.4142180622,41,2.680000,1.680000,0.840000,0.000000,0.000000,t_projected_direct,1.500000,1.000000,per_n,built_in_direct_v1
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.68_m1.500_lam1.000,acceptance_rate,0.5816406250,0.0052097579,0.5000000000,41,2.680000,1.680000,0.840000,0.000000,0.000000,t_projected_direct,1.500000,1.000000,per_n,built_in_direct_v1
