formal_n,sizes,mass_like,lambda_like,t_regulator,proxy_kind,eta_proxy,eta_anchor_de2,gamma_phi_proxy_de2,status_de2,score_de2,eta_anchor_lpa,gamma_phi_proxy_lpa,status_lpa,xi_values,xi_window_pass,susceptibility_values
2.900000,"4,6,8",0.600000,0.350000,0.000000,t_projected_direct,1.4446237572,0.0250000000,,out_of_anchor_band,1.4196237572,0.0150000000,,out_of_anchor_band,0.0000000000|0.0969490547|0.0000000000,True,0.0997639647|0.1700876601|0.1366206870
2.900000,"4,6,8",0.400000,0.250000,0.000000,t_projected_direct,-1.3987149746,0.0250000000,,non_physical_eta_proxy,1.4237149746,0.0150000000,,non_physical_eta_proxy,0.1427932471|0.0929285998|0.0000000000,True,0.1298828837|0.1364017281|2.4254346579
3.000000,"4,6,8",0.300000,0.250000,0.000000,t_projected_direct,1.5121221167,0.0190000000,,out_of_anchor_band,1.4931221167,0.0130000000,,out_of_anchor_band,0.0000000000|0.0000000000|0.0000000000,True,0.1117928398|0.1320148163|0.1681438830
3.000000,"4,6,8",0.800000,0.750000,0.000000,t_projected_direct,1.5320043361,0.0190000000,,out_of_anchor_band,1.5130043361,0.0130000000,,out_of_anchor_band,0.0662357351|0.0974976203|0.0298432225,True,0.1412384794|0.1998997334|0.1867293659
2.900000,"4,6,8",0.700000,0.650000,0.000000,t_projected_direct,1.5947580268,0.0250000000,,out_of_anchor_band,1.5697580268,0.0150000000,,out_of_anchor_band,0.0000000000|0.0000000000|0.0000000000,True,0.1040127464|0.1303374271|0.1320308667
2.900000,"4,6,8",0.450000,0.250000,0.000000,t_projected_direct,1.6156721317,0.0250000000,,out_of_anchor_band,1.5906721317,0.0150000000,,out_of_anchor_band,0.0000000000|0.0924324063|0.0947042463,True,0.1182681412|0.1454658149|0.1525019539
3.000000,"4,6,8",0.700000,0.500000,0.000000,t_projected_direct,1.6590994914,0.0190000000,,out_of_anchor_band,1.6400994914,0.0130000000,,out_of_anchor_band,0.0948677792|0.0664399331|0.1271724287,True,0.1569473706|0.1647370056|0.2051320096
2.900000,"4,6,8",0.200000,1.000000,0.000000,t_projected_direct,1.7075080948,0.0250000000,,out_of_anchor_band,1.6825080948,0.0150000000,,out_of_anchor_band,0.1030088468|0.0000000000|0.1206564379,True,0.1362848521|0.1357640401|0.1687607125
3.000000,"4,6,8",0.700000,0.750000,0.000000,t_projected_direct,1.7118750003,0.0190000000,,out_of_anchor_band,1.6928750003,0.0130000000,,out_of_anchor_band,0.1092789180|0.0000000000|0.1346110632,True,0.1846594766|0.1538120581|0.2349571846
2.900000,"4,6,8",0.800000,0.250000,0.000000,t_projected_direct,1.7228173474,0.0250000000,,out_of_anchor_band,1.6978173474,0.0150000000,,out_of_anchor_band,0.0000000000|0.0000000000|0.0564842218,True,0.1130848831|0.0944844268|0.1577003875
2.900000,"4,6,8",0.200000,0.250000,0.000000,t_projected_direct,1.7338651888,0.0250000000,,out_of_anchor_band,1.7088651888,0.0150000000,,out_of_anchor_band,0.0750938115|0.0193759003|0.0866893259,True,0.1084824410|0.1261557257|0.1291496674
2.900000,"4,6,8",0.200000,0.500000,0.000000,t_projected_direct,1.7451279906,0.0250000000,,out_of_anchor_band,1.7201279906,0.0150000000,,out_of_anchor_band,0.0739054175|0.0885818670|0.0552336282,True,0.1276780669|0.1287823701|0.1674817942
3.000000,"4,6,8",0.700000,0.650000,0.000000,t_projected_direct,1.7407597734,0.0190000000,,out_of_anchor_band,1.7217597734,0.0130000000,,out_of_anchor_band,0.0897741478|0.0000000000|0.1386707030,True,0.1636752650|0.1033975468|0.2340419643
2.900000,"4,6,8",0.400000,0.350000,0.000000,t_projected_direct,1.7708215779,0.0250000000,,out_of_anchor_band,1.7458215779,0.0150000000,,out_of_anchor_band,0.1599187837|0.0722797827|0.1242954284,True,0.1570080379|0.1280053184|0.1869165757
2.900000,"4,6,8",0.600000,0.500000,0.000000,t_projected_direct,1.8019237420,0.0250000000,,out_of_anchor_band,1.7769237420,0.0150000000,,out_of_anchor_band,0.0000000000|0.1526402398|0.0834587070,True,0.1182895288|0.1966692957|0.1375643880
3.000000,"4,6,8",0.600000,0.500000,0.000000,t_projected_direct,1.7979203038,0.0190000000,,out_of_anchor_band,1.7789203038,0.0130000000,,out_of_anchor_band,0.1042834362|0.0000000000|0.0990144069,True,0.1599882294|0.1445741873|0.1770930874
3.000000,"4,6,8",0.600000,1.000000,0.000000,t_projected_direct,1.7979268222,0.0190000000,,out_of_anchor_band,1.7789268222,0.0130000000,,out_of_anchor_band,0.0840560720|0.0000000000|0.0883849155,True,0.1737975954|0.2197898713|0.1831241233
3.000000,"4,6,8",0.300000,0.750000,0.000000,t_projected_direct,1.8160976413,0.0190000000,,out_of_anchor_band,1.7970976413,0.0130000000,,out_of_anchor_band,0.0467220194|0.1593963625|0.0000000000,True,0.1602114397|0.2415272278|0.1574117407
2.900000,"4,6,8",0.300000,0.750000,0.000000,t_projected_direct,1.8232483536,0.0250000000,,out_of_anchor_band,1.7982483536,0.0150000000,,out_of_anchor_band,0.0497717002|0.0218388073|0.0418317854,True,0.1049511342|0.1067609418|0.1194097577
3.000000,"4,6,8",0.250000,0.650000,0.000000,t_projected_direct,1.8308798197,0.0190000000,,out_of_anchor_band,1.8118798197,0.0130000000,,out_of_anchor_band,0.0363042594|0.0000000000|0.0499142790,True,0.1219420447|0.1171539188|0.1390154777
3.000000,"4,6,8",0.800000,0.650000,0.000000,t_projected_direct,1.8702792407,0.0190000000,,out_of_anchor_band,1.8512792407,0.0130000000,,out_of_anchor_band,0.0694653534|0.0835365558|0.0228139944,True,0.1713443350|0.1950957485|0.1882944809
2.900000,"4,6,8",0.800000,0.500000,0.000000,t_projected_direct,1.8771741072,0.0250000000,,out_of_anchor_band,1.8521741072,0.0150000000,,out_of_anchor_band,0.0817101714|0.0000000000|0.1063670377,True,0.1542827792|0.1285099483|0.1816963311
3.000000,"4,6,8",0.350000,0.350000,0.000000,t_projected_direct,1.8946921205,0.0190000000,,out_of_anchor_band,1.8756921205,0.0130000000,,out_of_anchor_band,0.0000000000|0.0000000000|0.0427536523,True,0.1271650535|0.1085829010|0.1464353889
3.000000,"4,6,8",0.450000,0.750000,0.000000,t_projected_direct,1.9345277960,0.0190000000,,out_of_anchor_band,1.9155277960,0.0130000000,,out_of_anchor_band,0.0746788612|0.0000000000|0.0000000000,True,0.1336907006|0.1171356463|0.1400867118
3.000000,"4,6,8",0.800000,0.350000,0.000000,t_projected_direct,1.9406912649,0.0190000000,,out_of_anchor_band,1.9216912649,0.0130000000,,out_of_anchor_band,0.0830683772|0.0460399720|0.0506728137,True,0.1544855671|0.1542384373|0.1613406558
2.900000,"4,6,8",0.250000,0.350000,0.000000,t_projected_direct,1.9645907189,0.0250000000,,out_of_anchor_band,1.9395907189,0.0150000000,,out_of_anchor_band,0.0951470634|0.0000000000|0.0703567080,True,0.1043095246|0.0807909980|0.1407447970
2.900000,"4,6,8",0.600000,0.650000,0.000000,t_projected_direct,1.9665119439,0.0250000000,,out_of_anchor_band,1.9415119439,0.0150000000,,out_of_anchor_band,0.0965033547|0.0000000000|0.0832878655,True,0.1512294524|0.1336378776|0.1559939023
2.900000,"4,6,8",0.350000,0.500000,0.000000,t_projected_direct,1.9704941749,0.0250000000,,out_of_anchor_band,1.9454941749,0.0150000000,,out_of_anchor_band,0.1343623318|0.0000000000|0.1466197563,True,0.1590334873|0.1234595549|0.2325594349
2.900000,"4,6,8",0.600000,0.750000,0.000000,t_projected_direct,1.9891909867,0.0250000000,,out_of_anchor_band,1.9641909867,0.0150000000,,out_of_anchor_band,0.1174106938|0.0000000000|0.0585620288,True,0.1576477421|0.1357000546|0.1605739214
2.900000,"4,6,8",0.400000,0.500000,0.000000,t_projected_direct,2.0132427921,0.0250000000,,out_of_anchor_band,1.9882427921,0.0150000000,,out_of_anchor_band,0.0266301620|0.0000000000|0.0000000000,True,0.1206436703|0.1211162134|0.1188803265
3.000000,"4,6,8",0.300000,0.500000,0.000000,t_projected_direct,2.0184409535,0.0190000000,,out_of_anchor_band,1.9994409535,0.0130000000,,out_of_anchor_band,0.1134010794|0.0000000000|0.0566457686,True,0.1390362669|0.1226674995|0.1429295923
3.000000,"4,6,8",0.350000,0.750000,0.000000,t_projected_direct,2.0310862778,0.0190000000,,out_of_anchor_band,2.0120862778,0.0130000000,,out_of_anchor_band,0.1226296868|0.0000000000|0.0805260988,True,0.1543174421|0.1245925476|0.1521820444
2.900000,"4,6,8",0.350000,1.000000,0.000000,t_projected_direct,-1.9894708457,0.0250000000,,non_physical_eta_proxy,2.0144708457,0.0150000000,,non_physical_eta_proxy,0.0877543771|0.0705703665|0.1999513257,True,0.1667420405|0.1442145847|8.8656655804
3.000000,"4,6,8",0.450000,0.650000,0.000000,t_projected_direct,2.0446471069,0.0190000000,,out_of_anchor_band,2.0256471069,0.0130000000,,out_of_anchor_band,0.0823106353|0.0962001329|0.0939670910,True,0.1594385788|0.1989451225|0.1452228147
3.000000,"4,6,8",0.600000,0.650000,0.000000,t_projected_direct,2.0660664890,0.0190000000,,out_of_anchor_band,2.0470664890,0.0130000000,,out_of_anchor_band,0.0845498127|0.0000000000|0.0000000000,True,0.1305432093|0.1152215408|0.1253703413
3.000000,"4,6,8",0.600000,0.250000,0.000000,t_projected_direct,-2.0374570495,0.0190000000,,non_physical_eta_proxy,2.0564570495,0.0130000000,,non_physical_eta_proxy,0.0000000000|0.0564270611|0.0000000000,True,0.0886701441|0.1312095679|1.9915674656
