instance_id,t_gini,early_t_gini,success,issue_length,diff_size,test_size,repo
sympy__sympy-11870,0.31998474446987024,0.2563944530046225,0.0,344,1250,1334,sympy/sympy
sympy__sympy-11897,0.44378918738369033,0.588151161419644,0.0,634,664,525,sympy/sympy
sympy__sympy-12171,0.36280200918050554,0.3352691252226663,0.0,615,554,1116,sympy/sympy
sympy__sympy-12236,0.26348586969374477,0.3442048933030897,0.0,1870,669,1437,sympy/sympy
sympy__sympy-12419,0.31842291501657427,0.3478611012172892,0.0,1141,1327,1010,sympy/sympy
sympy__sympy-12454,0.3992498377052729,0.3676287805551719,0.0,1235,774,682,sympy/sympy
sympy__sympy-12481,0.3468032512150159,0.3432861604798365,0.0,407,760,1120,sympy/sympy
sympy__sympy-13031,0.2963750149351858,0.260795259644107,0.0,717,1047,703,sympy/sympy
sympy__sympy-13043,0.2580396382691008,0.2554669030732861,0.0,449,1118,1296,sympy/sympy
sympy__sympy-13146,0.3914688010478411,0.40520310809481663,0.0,290,902,458,sympy/sympy
sympy__sympy-13177,0.27771980780263905,0.335018563867604,0.0,390,551,1189,sympy/sympy
sympy__sympy-13437,0.3025528726532458,0.243517711962834,0.0,614,755,1077,sympy/sympy
sympy__sympy-13471,0.1407475711136037,0.19736816425309334,0.0,786,747,429,sympy/sympy
sympy__sympy-13480,0.42781714014509453,0.42439423706614265,1.0,430,556,457,sympy/sympy
sympy__sympy-13647,0.42466705269253024,0.317170614561729,1.0,1088,495,845,sympy/sympy
sympy__sympy-13773,0.3582828871232069,0.3828873022355539,0.0,656,882,998,sympy/sympy
sympy__sympy-13895,0.34987124236225586,0.3179672750157332,0.0,545,1104,1026,sympy/sympy
sympy__sympy-13915,0.3391981502126431,0.3646109442186487,0.0,680,648,1064,sympy/sympy
sympy__sympy-13971,0.40045192672577357,0.4660889013139502,1.0,515,485,2134,sympy/sympy
sympy__sympy-14024,0.38654608478103647,0.4750204064228454,0.0,685,1434,1289,sympy/sympy
sympy__sympy-14308,0.3146393002505232,0.33460626911314995,0.0,275,3085,1955,sympy/sympy
sympy__sympy-14317,0.6840553127365212,0.3240808355965441,0.0,603,1824,1532,sympy/sympy
sympy__sympy-14396,0.3296943697924801,0.32415854562787993,0.0,2066,1168,1402,sympy/sympy
sympy__sympy-14774,0.38832259603913144,0.3976544684547725,1.0,550,552,1178,sympy/sympy
sympy__sympy-14817,0.41732075001557356,0.3478080348194599,0.0,2010,573,732,sympy/sympy
sympy__sympy-15011,0.36001534949272207,0.3803977749309908,0.0,711,1780,776,sympy/sympy
sympy__sympy-15308,0.40662083268644333,0.35410210055096414,0.0,294,837,1449,sympy/sympy
sympy__sympy-15345,0.4441343689170698,0.42669235002751793,0.0,269,808,785,sympy/sympy
sympy__sympy-15346,0.2612267458512436,0.40948750688498325,0.0,1159,575,1128,sympy/sympy
sympy__sympy-15609,0.3299594574595657,0.44615152112136314,0.0,385,534,570,sympy/sympy
sympy__sympy-15678,0.20606656213751684,0.24848261816422013,0.0,772,786,1596,sympy/sympy
sympy__sympy-16106,0.3543259099051774,0.3679236842693865,0.0,2141,936,1844,sympy/sympy
sympy__sympy-16281,0.3748166187430315,0.2952875952875953,0.0,1525,903,2521,sympy/sympy
sympy__sympy-16503,0.2851659972362588,0.3799855512209218,0.0,253,1521,4931,sympy/sympy
sympy__sympy-16792,0.39235663336561766,0.3743516460251932,0.0,1930,1793,980,sympy/sympy
sympy__sympy-16988,0.19308418533916316,0.19898535464726708,1.0,432,435,808,sympy/sympy
sympy__sympy-17022,0.3809846264019594,0.3763474143917731,0.0,965,825,2112,sympy/sympy
sympy__sympy-17139,0.4198609849958923,0.41894475814884524,0.0,1916,410,1016,sympy/sympy
sympy__sympy-17630,0.09114105632857594,0.09963645488072448,0.0,3430,589,2263,sympy/sympy
sympy__sympy-17655,0.4755561376265225,0.42258900559268864,0.0,1958,505,1187,sympy/sympy
sympy__sympy-18057,0.26184842972618094,0.3401396240922774,0.0,1736,391,1323,sympy/sympy
sympy__sympy-18087,0.22458027249283496,0.23661766997351075,0.0,320,1531,1044,sympy/sympy
sympy__sympy-18189,0.29704040030993606,0.34458171983526964,0.0,678,621,1027,sympy/sympy
sympy__sympy-18199,0.39875102733810475,0.4121718512996526,0.0,300,2838,2468,sympy/sympy
sympy__sympy-18532,0.36533003300330025,0.36917453548583623,0.0,324,703,1213,sympy/sympy
sympy__sympy-18621,0.3500575158663426,0.4021908338257627,0.0,2087,558,680,sympy/sympy
sympy__sympy-18698,0.33564816811119247,0.37552671919004665,0.0,458,1126,820,sympy/sympy
sympy__sympy-18835,0.42181969814084064,0.28442608386638235,0.0,780,1692,558,sympy/sympy
sympy__sympy-19007,0.4440632766122572,0.4256340853507736,0.0,473,1701,4292,sympy/sympy
